genus,species,ebird_code
Acanthis, flammea,comred
Acrocephalus, palustris,marwar3
Acrocephalus, schoenobaenus, sedwar1
Acrocephalus, scirpaceus, eurwar1
Aegithalos, caudatus, lottit1
Alauda, arvensis,skylar
Anthus, pratensis, meapip1
Anthus, trivialis,trepip
Apus, apus, comswi
Brant,canadensis, cangoo
Calidris, alpina, dunlin
Caprimulgus, europaeus,eurnig1
Carduelis, carduelis,eurgol
Certhia, familiaris,eurtre1
Chloris, chloris, eurgre1
Chroicocephalus, ridibundus, bkhgul
Corvus, monedula, eurjac
Columba, livia, rocpig
Columba, oenas, stodov1
Columba, palumbus, cowpig1
Corvus, corax, comrav
Corvus, corone, carcro1
Corvus, frugilegus, rook1
Cuculus, canorus, comcuc
Cyanistes, caeruleus, blutit
Delichon, urbicum, cohmar1
Dendrocopos, major, grswoo
Dryocopus, martius, blawoo1
Emberiza, calandra, corbun1
Emberiza, citrinella, yellow2
Emberiza, schoeniclus,
Erithacus, rubecula,
Fringilla, coelebs,
Fulica, atra,
Gallinago, gallinago,
Gallinula, chloropus,
Garrulus, glandarius,
Gavia, stellata,
Haematopus, ostralegus,
Hirundo, rustica,
Jynx, torquilla,
Lagopus, lagopus,
Larus, argentatus,
Linaria, cannabina,
Locustella, fluviatilis,
Loxia, curvirostra,
Luscinia, megarhynchos,
Merops, apiaster,
Motacilla, aguimp,
Motacilla, flava,
Muscicapa, striata,
Oriolus, oriolus,
Parus, major,
Passer, domesticus,
Passer, montanus,
Perdix, perdix,
Periparus, ater,
Pernis, apivorus,
Phasianus, colchicus,
Phoenicurus, phoenicurus,
Phylloscopus, collybita,
Phylloscopus, sibilatrix,
Phylloscopus, trochilus,
Pica, pica,
Picus, viridis,
Pluvialis, apricaria,
Pluvialis, squatarola,
Poecile, montanus,
Poecile, palustris,
Prunella, modularis,
Pyrrhula, pyrrhula,
Regulus, regulus,
Sitta, europaea,
Streptopelia, decaocto, eucdov
Streptopelia, turtur, eutdov
Strix, aluco, tawowl1
Sturnus, vulgaris, eursta
Sylvia, atricapilla, blackc1
Sylvia, borin, garwar1
Sylvia, communis, grewhi1
Sylvia, curruca, leswhi4
Tringa, glareola, woosan
Tringa, totanus, comred1
Troglodytes, troglodytes, winwre4
Turdus, iliacus, redwin
Turdus, merula, eurbla
Turdus, philomelos, sonthr1
Vanellus, vanellus, norlap
