genus,species,ebird_code
Acanthis, flammea,comred
Acrocephalus, palustris,marwar3
Acrocephalus, schoenobaenus, sedwar1
Acrocephalus, scirpaceus, eurwar1
Aegithalos, caudatus, lottit1
Alauda, arvensis,skylar
Anthus, pratensis, meapip1
Anthus, trivialis,trepip
Apus, apus, comswi
Brant,canadensis, cangoo
Calidris, alpina, dunlin
Caprimulgus, europaeus,eurnig1
Carduelis, carduelis,eurgol
Certhia, familiaris,eurtre1
Chloris, chloris, eurgre1
Chroicocephalus, ridibundus, bkhgul
Corvus, monedula, eurjac
Columba, livia, rocpig
Columba, oenas, stodov1
Columba, palumbus, cowpig1
Corvus, corax, comrav
Corvus, corone, carcro1
Corvus, frugilegus, rook1
Cuculus, canorus, comcuc
Cyanistes, caeruleus, blutit
Delichon, urbicum, cohmar1
Dendrocopos, major, grswoo
Dryocopus, martius, blawoo1
Emberiza, calandra, corbun1
Emberiza, citrinella, yellow2
Emberiza, schoeniclus,reebun
Erithacus, rubecula,eurrob1
Fringilla, coelebs,comcha
Fulica, atra,eurcoo
Gallinago, gallinago, comsni
Gallinula, chloropus,commoo3
Garrulus, glandarius,eurjay1
Gavia, stellata,retloo
Haematopus, ostralegus,euroys1
Hirundo, rustica,barswa
Jynx, torquilla,eurwry
Lagopus, lagopus, wilpta
Larus, argentatus,hergul
Linaria, cannabina,eurlin1
Locustella, fluviatilis,eurwar2
Loxia, curvirostra,redcro
Luscinia, megarhynchos,comnig1
Merops, apiaster,eubeat1
Motacilla, aguimp,afpwag1
Motacilla, flava,eaywag1
Muscicapa, striata,spofly1
Oriolus, oriolus, eugori2
Parus, major,gretit1
Passer, domesticus,houspa
Passer, montanus,eutspa
Perdix, perdix, grypar
Periparus, ater,coatit2
Pernis, apivorus,euhbuz1
Phasianus, colchicus,rinphe
Phoenicurus, phoenicurus, comred2
Phylloscopus, collybita,comchi1
Phylloscopus, sibilatrix,woowar
Phylloscopus, trochilus,wlwwar
Pica, pica, eurmag1
Picus, viridis,eugwoo2
Pluvialis, apricaria,eugplo
Pluvialis, squatarola,bkbplo
Poecile, montanus,wiltit1
Poecile, palustris,martit2
Prunella, modularis,dunnoc1
Pyrrhula, pyrrhula, eurbul
Regulus, regulus, goldcr1
Sitta, europaea,eurnut2
Streptopelia, decaocto, eucdov
Streptopelia, turtur, eutdov
Strix, aluco, tawowl1
Sturnus, vulgaris, eursta
Sylvia, atricapilla, blackc1
Sylvia, borin, garwar1
Sylvia, communis, grewhi1
Sylvia, curruca, leswhi4
Tringa, glareola, woosan
Tringa, totanus, comred1
Troglodytes, troglodytes, winwre4
Turdus, iliacus, redwin
Turdus, merula, eurbla
Turdus, philomelos, sonthr1
Vanellus, vanellus, norlap
