,0
0,"{'file': 456981, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/marsh_warbler/456981.wav': Internal error : SF_INFO struct incomplete."")}"
1,"{'file': 465781, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/tree_pipit/465781.wav': Internal error : SF_INFO struct incomplete."")}"
2,"{'file': 459261, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/common_reed_bunting/459261.wav': Internal error : SF_INFO struct incomplete."")}"
3,413346
4,"{'file': 370112, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/370112.wav': System error."")}"
5,"{'file': 246213, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/246213.wav': System error."")}"
6,"{'file': 233911, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/233911.wav': System error."")}"
7,"{'file': 233910, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/233910.wav': System error."")}"
8,"{'file': 608513, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/608513.wav': System error."")}"
9,"{'file': 606913, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/606913.wav': System error."")}"
10,"{'file': 603388, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/603388.wav': System error."")}"
11,"{'file': 603387, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/603387.wav': System error."")}"
